number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 8, point id = 4, error_u = 1.417945, error_v = -0.101306
camera id = 9, point id = 4, error_u = 0.328776, error_v = 0.988315
camera id = 11, point id = 4, error_u = 0.601839, error_v = -0.471342
camera id = 13, point id = 4, error_u = 0.428746, error_v = -0.569402
camera id = 14, point id = 4, error_u = 0.718827, error_v = -0.652663
camera id = 0, point id = 5, error_u = 2.552916, error_v = 1.079612
camera id = 1, point id = 5, error_u = -0.998720, error_v = 1.437079
camera id = 3, point id = 5, error_u = 1.287726, error_v = -0.868563
camera id = 4, point id = 5, error_u = 3.386796, error_v = -0.849579
camera id = 5, point id = 5, error_u = 1.027357, error_v = 1.780519
camera id = 6, point id = 5, error_u = 3.722828, error_v = 2.603725
camera id = 7, point id = 5, error_u = 8.205513, error_v = 3.261468
camera id = 8, point id = 5, error_u = 2.582751, error_v = 3.167233
camera id = 9, point id = 5, error_u = 1.368700, error_v = 6.434816
camera id = 10, point id = 5, error_u = -2.363834, error_v = -3.319958
camera id = 13, point id = 5, error_u = 2.517825, error_v = 1.022104
camera id = 15, point id = 5, error_u = 0.594562, error_v = 0.114644
unsuccessful step! iteration = 90, error before = 285.692780, error next = 286.271010, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.831709, error_v = 0.143149
camera id = 1, point id = 0, error_u = -3.502921, error_v = 0.543662
camera id = 2, point id = 0, error_u = 1.837907, error_v = 2.643048
camera id = 7, point id = 0, error_u = 3.826638, error_v = 4.444044
camera id = 12, point id = 0, error_u = -1.229381, error_v = 0.389542
camera id = 13, point id = 0, error_u = -0.930652, error_v = 0.191530
camera id = 0, point id = 1, error_u = 1.087461, error_v = 0.341971
camera id = 1, point id = 1, error_u = -3.381429, error_v = 0.128584
camera id = 10, point id = 1, error_u = -5.816994, error_v = -2.485608
camera id = 0, point id = 2, error_u = -0.296261, error_v = -0.251534
camera id = 1, point id = 2, error_u = -2.041564, error_v = 0.581117
camera id = 2, point id = 2, error_u = 2.888412, error_v = 2.059588
camera id = 6, point id = 2, error_u = 0.034538, error_v = -1.474793
camera id = 7, point id = 2, error_u = 3.961451, error_v = 0.312208
camera id = 9, point id = 2, error_u = -1.488606, error_v = 1.619317
camera id = 10, point id = 2, error_u = -3.310880, error_v = -2.222386
camera id = 12, point id = 2, error_u = 0.818704, error_v = 0.686042
camera id = 13, point id = 2, error_u = -0.608934, error_v = -0.160713
camera id = 15, point id = 2, error_u = -1.464096, error_v = -1.316404
camera id = 0, point id = 3, error_u = -0.187828, error_v = -0.310921
camera id = 1, point id = 3, error_u = -1.892150, error_v = 0.527802
camera id = 2, point id = 3, error_u = 2.668385, error_v = 2.160005
camera id = 6, point id = 3, error_u = -0.096719, error_v = -1.283341
camera id = 7, point id = 3, error_u = 3.930694, error_v = 0.406582
camera id = 8, point id = 3, error_u = 0.332651, error_v = 0.297471
camera id = 9, point id = 3, error_u = -1.785211, error_v = 1.712573
camera id = 10, point id = 3, error_u = -3.354442, error_v = -2.106799
camera id = 12, point id = 3, error_u = 0.843123, error_v = 0.679476
camera id = 15, point id = 3, error_u = -1.209569, error_v = -1.463697
camera id = 0, point id = 4, error_u = 1.448234, error_v = 0.194281
camera id = 1, point id = 4, error_u = -0.533757, error_v = 0.285702
camera id = 2, point id = 4, error_u = 3.525229, error_v = 3.263606
camera id = 3, point id = 4, error_u = -9.028238, error_v = 3.260834
camera id = 5, point id = 4, error_u = 0.112098, error_v = -1.086627
camera id = 6, point id = 4, error_u = 0.487614, error_v = 0.044178
camera id = 8, point id = 4, error_u = 1.417945, error_v = -0.101306
camera id = 9, point id = 4, error_u = 0.328776, error_v = 0.988315
camera id = 11, point id = 4, error_u = 0.601839, error_v = -0.471342
camera id = 13, point id = 4, error_u = 0.428746, error_v = -0.569402
camera id = 14, point id = 4, error_u = 0.718827, error_v = -0.652663
camera id = 0, point id = 5, error_u = 2.552916, error_v = 1.079612
camera id = 1, point id = 5, error_u = -0.998720, error_v = 1.437079
camera id = 3, point id = 5, error_u = 1.287726, error_v = -0.868563
camera id = 4, point id = 5, error_u = 3.386796, error_v = -0.849579
camera id = 5, point id = 5, error_u = 1.027357, error_v = 1.780519
camera id = 6, point id = 5, error_u = 3.722828, error_v = 2.603725
camera id = 7, point id = 5, error_u = 8.205513, error_v = 3.261468
camera id = 8, point id = 5, error_u = 2.582751, error_v = 3.167233
camera id = 9, point id = 5, error_u = 1.368700, error_v = 6.434816
camera id = 10, point id = 5, error_u = -2.363834, error_v = -3.319958
camera id = 13, point id = 5, error_u = 2.517825, error_v = 1.022104
camera id = 15, point id = 5, error_u = 0.594562, error_v = 0.114644
successful step! iteration = 91, error before = 285.692780, error next = 285.559060, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.857116, error_v = 0.077480
camera id = 1, point id = 0, error_u = -3.551776, error_v = 0.445462
camera id = 2, point id = 0, error_u = 1.846146, error_v = 2.523555
camera id = 7, point id = 0, error_u = 3.705026, error_v = 4.255092
camera id = 12, point id = 0, error_u = -1.421541, error_v = 0.276469
camera id = 13, point id = 0, error_u = -0.976846, error_v = 0.126530
camera id = 0, point id = 1, error_u = 1.195559, error_v = 0.348347
camera id = 1, point id = 1, error_u = -3.360765, error_v = 0.077665
camera id = 10, point id = 1, error_u = -5.652605, error_v = -2.511947
camera id = 0, point id = 2, error_u = -0.304883, error_v = -0.248036
camera id = 1, point id = 2, error_u = -2.157036, error_v = 0.550806
camera id = 2, point id = 2, error_u = 2.903585, error_v = 2.066455
camera id = 6, point id = 2, error_u = 0.000083, error_v = -1.508688
camera id = 7, point id = 2, error_u = 3.925215, error_v = 0.380145
camera id = 9, point id = 2, error_u = -1.110265, error_v = 1.740365
camera id = 10, point id = 2, error_u = -3.288444, error_v = -2.280050
camera id = 12, point id = 2, error_u = 0.771769, error_v = 0.598321
camera id = 13, point id = 2, error_u = -0.660863, error_v = -0.167690
camera id = 15, point id = 2, error_u = -1.486291, error_v = -1.316251
camera id = 0, point id = 3, error_u = -0.198590, error_v = -0.307860
camera id = 1, point id = 3, error_u = -2.010112, error_v = 0.498907
camera id = 2, point id = 3, error_u = 2.681413, error_v = 2.165826
camera id = 6, point id = 3, error_u = -0.133529, error_v = -1.317815
camera id = 7, point id = 3, error_u = 3.894197, error_v = 0.473588
camera id = 8, point id = 3, error_u = 0.215687, error_v = 0.198014
camera id = 9, point id = 3, error_u = -1.409722, error_v = 1.830488
camera id = 10, point id = 3, error_u = -3.335668, error_v = -2.164745
camera id = 12, point id = 3, error_u = 0.793407, error_v = 0.589414
camera id = 15, point id = 3, error_u = -1.235108, error_v = -1.464426
camera id = 0, point id = 4, error_u = 1.461328, error_v = 0.140036
camera id = 1, point id = 4, error_u = -0.600749, error_v = 0.159465
camera id = 2, point id = 4, error_u = 3.563496, error_v = 3.196553
camera id = 3, point id = 4, error_u = -8.950192, error_v = 3.298855
camera id = 5, point id = 4, error_u = 0.085848, error_v = -1.185513
camera id = 6, point id = 4, error_u = 0.501387, error_v = -0.071825
camera id = 8, point id = 4, error_u = 1.381057, error_v = -0.230143
camera id = 9, point id = 4, error_u = 0.635594, error_v = 1.091039
camera id = 11, point id = 4, error_u = 0.625330, error_v = -0.513822
camera id = 13, point id = 4, error_u = 0.417925, error_v = -0.627072
camera id = 14, point id = 4, error_u = 0.736464, error_v = -0.690718
camera id = 0, point id = 5, error_u = 2.559312, error_v = 1.067178
camera id = 1, point id = 5, error_u = -1.057824, error_v = 1.388432
camera id = 3, point id = 5, error_u = 1.586160, error_v = -0.684926
camera id = 4, point id = 5, error_u = 3.413854, error_v = -0.692607
camera id = 5, point id = 5, error_u = 0.970874, error_v = 1.748272
camera id = 6, point id = 5, error_u = 3.784738, error_v = 2.554716
camera id = 7, point id = 5, error_u = 8.196670, error_v = 3.215031
camera id = 8, point id = 5, error_u = 2.545341, error_v = 3.063782
camera id = 9, point id = 5, error_u = 1.848821, error_v = 6.753050
camera id = 10, point id = 5, error_u = -2.287778, error_v = -3.351531
camera id = 13, point id = 5, error_u = 2.504216, error_v = 1.016878
camera id = 15, point id = 5, error_u = 0.600491, error_v = 0.097138
unsuccessful step! iteration = 92, error before = 285.559060, error next = 286.014717, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.857116, error_v = 0.077480
camera id = 1, point id = 0, error_u = -3.551776, error_v = 0.445462
camera id = 2, point id = 0, error_u = 1.846146, error_v = 2.523555
camera id = 7, point id = 0, error_u = 3.705026, error_v = 4.255092
camera id = 12, point id = 0, error_u = -1.421541, error_v = 0.276469
camera id = 13, point id = 0, error_u = -0.976846, error_v = 0.126530
camera id = 0, point id = 1, error_u = 1.195559, error_v = 0.348347
camera id = 1, point id = 1, error_u = -3.360765, error_v = 0.077665
camera id = 10, point id = 1, error_u = -5.652605, error_v = -2.511947
camera id = 0, point id = 2, error_u = -0.304883, error_v = -0.248036
camera id = 1, point id = 2, error_u = -2.157036, error_v = 0.550806
camera id = 2, point id = 2, error_u = 2.903585, error_v = 2.066455
camera id = 6, point id = 2, error_u = 0.000083, error_v = -1.508688
camera id = 7, point id = 2, error_u = 3.925215, error_v = 0.380145
camera id = 9, point id = 2, error_u = -1.110265, error_v = 1.740365
camera id = 10, point id = 2, error_u = -3.288444, error_v = -2.280050
camera id = 12, point id = 2, error_u = 0.771769, error_v = 0.598321
camera id = 13, point id = 2, error_u = -0.660863, error_v = -0.167690
camera id = 15, point id = 2, error_u = -1.486291, error_v = -1.316251
camera id = 0, point id = 3, error_u = -0.198590, error_v = -0.307860
camera id = 1, point id = 3, error_u = -2.010112, error_v = 0.498907
camera id = 2, point id = 3, error_u = 2.681413, error_v = 2.165826
camera id = 6, point id = 3, error_u = -0.133529, error_v = -1.317815
camera id = 7, point id = 3, error_u = 3.894197, error_v = 0.473588
camera id = 8, point id = 3, error_u = 0.215687, error_v = 0.198014
camera id = 9, point id = 3, error_u = -1.409722, error_v = 1.830488
camera id = 10, point id = 3, error_u = -3.335668, error_v = -2.164745
camera id = 12, point id = 3, error_u = 0.793407, error_v = 0.589414
camera id = 15, point id = 3, error_u = -1.235108, error_v = -1.464426
camera id = 0, point id = 4, error_u = 1.461328, error_v = 0.140036
camera id = 1, point id = 4, error_u = -0.600749, error_v = 0.159465
camera id = 2, point id = 4, error_u = 3.563496, error_v = 3.196553
camera id = 3, point id = 4, error_u = -8.950192, error_v = 3.298855
camera id = 5, point id = 4, error_u = 0.085848, error_v = -1.185513
camera id = 6, point id = 4, error_u = 0.501387, error_v = -0.071825
camera id = 8, point id = 4, error_u = 1.381057, error_v = -0.230143
camera id = 9, point id = 4, error_u = 0.635594, error_v = 1.091039
camera id = 11, point id = 4, error_u = 0.625330, error_v = -0.513822
camera id = 13, point id = 4, error_u = 0.417925, error_v = -0.627072
camera id = 14, point id = 4, error_u = 0.736464, error_v = -0.690718
camera id = 0, point id = 5, error_u = 2.559312, error_v = 1.067178
camera id = 1, point id = 5, error_u = -1.057824, error_v = 1.388432
camera id = 3, point id = 5, error_u = 1.586160, error_v = -0.684926
camera id = 4, point id = 5, error_u = 3.413854, error_v = -0.692607
camera id = 5, point id = 5, error_u = 0.970874, error_v = 1.748272
camera id = 6, point id = 5, error_u = 3.784738, error_v = 2.554716
camera id = 7, point id = 5, error_u = 8.196670, error_v = 3.215031
camera id = 8, point id = 5, error_u = 2.545341, error_v = 3.063782
camera id = 9, point id = 5, error_u = 1.848821, error_v = 6.753050
camera id = 10, point id = 5, error_u = -2.287778, error_v = -3.351531
camera id = 13, point id = 5, error_u = 2.504216, error_v = 1.016878
camera id = 15, point id = 5, error_u = 0.600491, error_v = 0.097138
successful step! iteration = 93, error before = 285.559060, error next = 285.302261, lambda = 0.000000

camera id = 0, point id = 0, error_u = -0.883024, error_v = 0.009130
camera id = 1, point id = 0, error_u = -3.596193, error_v = 0.344933
camera id = 2, point id = 0, error_u = 1.849989, error_v = 2.392543
camera id = 7, point id = 0, error_u = 3.572965, error_v = 4.053140
camera id = 12, point id = 0, error_u = -1.609520, error_v = 0.158929
camera id = 13, point id = 0, error_u = -1.023037, error_v = 0.059586
camera id = 0, point id = 1, error_u = 1.306747, error_v = 0.355632
camera id = 1, point id = 1, error_u = -3.328951, error_v = 0.023650
camera id = 10, point id = 1, error_u = -5.470629, error_v = -2.529268
camera id = 0, point id = 2, error_u = -0.315004, error_v = -0.244315
camera id = 1, point id = 2, error_u = -2.264383, error_v = 0.518161
camera id = 2, point id = 2, error_u = 2.910534, error_v = 2.066482
camera id = 6, point id = 2, error_u = -0.035851, error_v = -1.540209
camera id = 7, point id = 2, error_u = 3.874339, error_v = 0.446196
camera id = 9, point id = 2, error_u = -0.734771, error_v = 1.851430
camera id = 10, point id = 2, error_u = -3.252019, error_v = -2.328336
camera id = 12, point id = 2, error_u = 0.723962, error_v = 0.508869
camera id = 13, point id = 2, error_u = -0.713318, error_v = -0.174596
camera id = 15, point id = 2, error_u = -1.504407, error_v = -1.311582
camera id = 0, point id = 3, error_u = -0.210978, error_v = -0.304633
camera id = 1, point id = 3, error_u = -2.120193, error_v = 0.467610
camera id = 2, point id = 3, error_u = 2.686094, error_v = 2.164720
camera id = 6, point id = 3, error_u = -0.171940, error_v = -1.350050
camera id = 7, point id = 3, error_u = 3.842999, error_v = 0.538661
camera id = 8, point id = 3, error_u = 0.094643, error_v = 0.095693
camera id = 9, point id = 3, error_u = -1.037223, error_v = 1.938383
camera id = 10, point id = 3, error_u = -3.303172, error_v = -2.213593
camera id = 12, point id = 3, error_u = 0.742644, error_v = 0.497524
camera id = 15, point id = 3, error_u = -1.256763, error_v = -1.460803
camera id = 0, point id = 4, error_u = 1.472419, error_v = 0.084762
camera id = 1, point id = 4, error_u = -0.663131, error_v = 0.031678
camera id = 2, point id = 4, error_u = 3.595414, error_v = 3.122219
camera id = 3, point id = 4, error_u = -8.868701, error_v = 3.331984
camera id = 5, point id = 4, error_u = 0.058908, error_v = -1.285878
camera id = 6, point id = 4, error_u = 0.511116, error_v = -0.187739
camera id = 8, point id = 4, error_u = 1.341307, error_v = -0.362236
camera id = 9, point id = 4, error_u = 0.942129, error_v = 1.185300
camera id = 11, point id = 4, error_u = 0.646005, error_v = -0.555624
camera id = 13, point id = 4, error_u = 0.406208, error_v = -0.685681
camera id = 14, point id = 4, error_u = 0.750601, error_v = -0.727665
camera id = 0, point id = 5, error_u = 2.560955, error_v = 1.051751
camera id = 1, point id = 5, error_u = -1.113396, error_v = 1.336327
camera id = 3, point id = 5, error_u = 1.879646, error_v = -0.510187
camera id = 4, point id = 5, error_u = 3.433635, error_v = -0.525976
camera id = 5, point id = 5, error_u = 0.907970, error_v = 1.711038
camera id = 6, point id = 5, error_u = 3.837356, error_v = 2.500891
camera id = 7, point id = 5, error_u = 8.169413, error_v = 3.157069
camera id = 8, point id = 5, error_u = 2.498584, error_v = 2.950823
